position_1based	index_0based	variant_record_count	provenance_class
230	229	5	transformed-real
231	230	4	transformed-real
232	231	6	transformed-real
233	232	6	transformed-real
234	233	8	transformed-real
235	234	7	transformed-real
236	235	6	transformed-real
237	236	6	transformed-real
238	237	7	transformed-real
239	238	7	transformed-real
240	239	7	transformed-real
241	240	6	transformed-real
242	241	6	transformed-real
243	242	8	transformed-real
244	243	9	transformed-real
245	244	11	transformed-real
246	245	6	transformed-real
247	246	9	transformed-real
248	247	8	transformed-real
249	248	10	transformed-real
250	249	10	transformed-real
251	250	7	transformed-real
252	251	5	transformed-real
253	252	5	transformed-real
254	253	8	transformed-real
255	254	6	transformed-real
256	255	4	transformed-real
257	256	4	transformed-real
258	257	7	transformed-real
259	258	9	transformed-real
260	259	6	transformed-real
261	260	5	transformed-real
262	261	6	transformed-real
263	262	6	transformed-real
264	263	5	transformed-real
265	264	4	transformed-real
266	265	4	transformed-real
267	266	5	transformed-real
268	267	6	transformed-real
269	268	6	transformed-real
270	269	6	transformed-real
271	270	8	transformed-real
272	271	5	transformed-real
273	272	9	transformed-real
274	273	6	transformed-real
275	274	6	transformed-real
276	275	6	transformed-real
277	276	6	transformed-real
278	277	7	transformed-real
279	278	4	transformed-real
280	279	6	transformed-real
281	280	9	transformed-real
282	281	7	transformed-real
283	282	6	transformed-real
284	283	4	transformed-real
285	284	6	transformed-real
286	285	7	transformed-real
287	286	5	transformed-real
288	287	5	transformed-real
289	288	5	transformed-real
290	289	3	transformed-real
291	290	6	transformed-real
292	291	7	transformed-real
293	292	4	transformed-real
294	293	6	transformed-real
295	294	4	transformed-real
296	295	8	transformed-real
297	296	5	transformed-real
298	297	5	transformed-real
299	298	4	transformed-real
300	299	4	transformed-real
301	300	5	transformed-real
302	301	4	transformed-real
303	302	4	transformed-real
304	303	4	transformed-real
305	304	5	transformed-real
306	305	2	transformed-real
307	306	3	transformed-real
308	307	2	transformed-real
309	308	2	transformed-real
310	309	2	transformed-real
311	310	4	transformed-real
312	311	2	transformed-real
313	312	4	transformed-real
314	313	1	transformed-real
315	314	3	transformed-real
316	315	2	transformed-real
317	316	5	transformed-real
318	317	1	transformed-real
319	318	3	transformed-real
320	319	1	transformed-real
321	320	2	transformed-real
322	321	2	transformed-real
323	322	5	transformed-real
324	323	3	transformed-real
325	324	3	transformed-real
326	325	1	transformed-real
327	326	2	transformed-real
328	327	3	transformed-real
329	328	2	transformed-real
330	329	3	transformed-real
331	330	3	transformed-real
332	331	1	transformed-real
333	332	0	transformed-real
334	333	2	transformed-real
335	334	3	transformed-real
336	335	0	transformed-real
337	336	4	transformed-real
338	337	2	transformed-real
339	338	2	transformed-real
340	339	0	transformed-real
341	340	1	transformed-real
342	341	3	transformed-real
343	342	1	transformed-real
344	343	2	transformed-real
345	344	0	transformed-real
346	345	1	transformed-real
347	346	2	transformed-real
348	347	2	transformed-real
349	348	1	transformed-real
350	349	0	transformed-real
351	350	0	transformed-real
352	351	1	transformed-real
353	352	1	transformed-real
354	353	3	transformed-real
355	354	0	transformed-real
356	355	2	transformed-real
357	356	0	transformed-real
358	357	2	transformed-real
359	358	0	transformed-real
360	359	2	transformed-real
361	360	0	transformed-real
362	361	0	transformed-real
363	362	1	transformed-real
364	363	3	transformed-real
365	364	2	transformed-real
366	365	1	transformed-real
367	366	0	transformed-real
368	367	0	transformed-real
369	368	0	transformed-real
370	369	1	transformed-real
371	370	0	transformed-real
372	371	0	transformed-real
373	372	0	transformed-real
374	373	0	transformed-real
375	374	0	transformed-real
376	375	2	transformed-real
377	376	0	transformed-real
378	377	0	transformed-real
379	378	1	transformed-real
380	379	0	transformed-real
381	380	0	transformed-real
382	381	0	transformed-real
383	382	0	transformed-real
384	383	0	transformed-real
385	384	1	transformed-real
386	385	0	transformed-real
387	386	0	transformed-real
388	387	0	transformed-real
389	388	1	transformed-real
390	389	0	transformed-real
391	390	0	transformed-real
392	391	1	transformed-real
393	392	0	transformed-real
